university,name
http://www.wikidata.org/entity/Q7842,University of Tokyo
http://www.wikidata.org/entity/Q94810,Universiti Tenaga Nasional
http://www.wikidata.org/entity/Q94902,Allameh Tabataba'i University
http://www.wikidata.org/entity/Q109176,Andrews University
http://www.wikidata.org/entity/Q113788,Kazan Federal University
http://www.wikidata.org/entity/Q233300,Beijing International Studies University
http://www.wikidata.org/entity/Q240041,Lutheran Theological University
http://www.wikidata.org/entity/Q246534,Assiut University
http://www.wikidata.org/entity/Q248919,Walter Sisulu University
http://www.wikidata.org/entity/Q251084,Keiai University
http://www.wikidata.org/entity/Q251214,Hanseatic University Rostock
http://www.wikidata.org/entity/Q251989,Songkhla Rajabhat University
http://www.wikidata.org/entity/Q254191,Utah State University Eastern
http://www.wikidata.org/entity/Q257249,Omsk State Technical University
http://www.wikidata.org/entity/Q373642,Kazakh-German University
http://www.wikidata.org/entity/Q374457,Sogang University
http://www.wikidata.org/entity/Q376331,Nordic Summer University
http://www.wikidata.org/entity/Q378014,University of al-Qarawiyyin
http://www.wikidata.org/entity/Q12432,Michigan Technological University
http://www.wikidata.org/entity/Q13164,Moscow State University
http://www.wikidata.org/entity/Q262617,Fuller Theological Seminary
http://www.wikidata.org/entity/Q262760,École polytechnique fédérale de Lausanne
http://www.wikidata.org/entity/Q262854,Lancaster University
http://www.wikidata.org/entity/Q15142,University of Massachusetts Amherst
http://www.wikidata.org/entity/Q15144,University of Massachusetts Boston
http://www.wikidata.org/entity/Q391945,ŠKODA AUTO University
http://www.wikidata.org/entity/Q392138,Chung Chou University of Science and Technology
http://www.wikidata.org/entity/Q392667,Wake Forest University
http://www.wikidata.org/entity/Q392774,University for Peace
http://www.wikidata.org/entity/Q400222,Ahfad University for Women
http://www.wikidata.org/entity/Q400422,Saratov State University
http://www.wikidata.org/entity/Q402829,Saint Vladimir's Orthodox Theological Seminary
http://www.wikidata.org/entity/Q403626,Aichi University
http://www.wikidata.org/entity/Q405304,Nayoro City University
http://www.wikidata.org/entity/Q128111,University of Virginia's College at Wise
http://www.wikidata.org/entity/Q129421,"University of California, Davis"
http://www.wikidata.org/entity/Q129900,Universidad de la Comunicación
http://www.wikidata.org/entity/Q130965,Fordham University
http://www.wikidata.org/entity/Q484230,Seoul Women's University
http://www.wikidata.org/entity/Q484477,Chuncheon National University of Education
http://www.wikidata.org/entity/Q484622,Soonchunhyang University
http://www.wikidata.org/entity/Q484775,Gwangju National University of Education
http://www.wikidata.org/entity/Q486676,Kangnam University
http://www.wikidata.org/entity/Q486999,Korea National University of Transportation
http://www.wikidata.org/entity/Q487170,Busan University of Foreign Studies
http://www.wikidata.org/entity/Q487177,Kookmin University
http://www.wikidata.org/entity/Q487613,Seoul National University of Education
http://www.wikidata.org/entity/Q487804,Dongguk University
http://www.wikidata.org/entity/Q487841,Kyungpook National University
http://www.wikidata.org/entity/Q487855,Jeju National University
http://www.wikidata.org/entity/Q488100,Dongduk Women's University
http://www.wikidata.org/entity/Q263265,University of Transkei
http://www.wikidata.org/entity/Q263932,Zhejiang Chinese Medical University
http://www.wikidata.org/entity/Q264035,Universidad Columbia del Paraguay
http://www.wikidata.org/entity/Q264974,Nakhon Ratchasima Rajabhat University
http://www.wikidata.org/entity/Q265866,Universidad Nacional del Litoral
http://www.wikidata.org/entity/Q266255,University of Dillingen
http://www.wikidata.org/entity/Q266537,Magna Græcia University
http://www.wikidata.org/entity/Q267111,Niigata University
http://www.wikidata.org/entity/Q268975,TIFR Centre for Applicable Mathematics
http://www.wikidata.org/entity/Q488334,University of Seoul
http://www.wikidata.org/entity/Q488620,Sun Moon University
http://www.wikidata.org/entity/Q488851,Inha University
http://www.wikidata.org/entity/Q489065,Universidad de Sonora
http://www.wikidata.org/entity/Q489356,Keijō Imperial University
http://www.wikidata.org/entity/Q489488,Chungnam National University
http://www.wikidata.org/entity/Q414219,Academy of Fine Arts Vienna
http://www.wikidata.org/entity/Q414309,"Academy of Arts, Architecture and Design in Prague"
http://www.wikidata.org/entity/Q414464,Academy of Gondishapur
http://www.wikidata.org/entity/Q115376,West Virginia University
http://www.wikidata.org/entity/Q116485,University of Louisiana at Lafayette
http://www.wikidata.org/entity/Q117251,University of Charleston
http://www.wikidata.org/entity/Q23101,Beijing Institute of Technology
http://www.wikidata.org/entity/Q23102,Harbin Engineering University
http://www.wikidata.org/entity/Q23110,Nanjing University of Aeronautics and Astronautics
http://www.wikidata.org/entity/Q23966,Kharkiv Petro Vasylenko National Technical University of Agriculture
http://www.wikidata.org/entity/Q23975,Kharkiv State Academy of Culture
http://www.wikidata.org/entity/Q489696,Korea National University of Arts
http://www.wikidata.org/entity/Q489708,Daegu University
http://www.wikidata.org/entity/Q489753,Tatar State University of Humanities and Education
http://www.wikidata.org/entity/Q490117,Hoseo University
http://www.wikidata.org/entity/Q491082,Ajou University
http://www.wikidata.org/entity/Q491101,Information and Communications University
http://www.wikidata.org/entity/Q263064,"University of California, Santa Barbara"
http://www.wikidata.org/entity/Q143451,University of Central Florida
http://www.wikidata.org/entity/Q144488,University of Warsaw
http://www.wikidata.org/entity/Q15570,Chinese University of Hong Kong
http://www.wikidata.org/entity/Q16947,Tongji University
http://www.wikidata.org/entity/Q493141,University of Botswana
http://www.wikidata.org/entity/Q493187,University of Economics - Varna
http://www.wikidata.org/entity/Q493294,Technical University of Civil Engineering of Bucharest
http://www.wikidata.org/entity/Q493506,Dongseo University
http://www.wikidata.org/entity/Q494096,University of Craiova
http://www.wikidata.org/entity/Q27621,Saint Petersburg State University
http://www.wikidata.org/entity/Q23977,Kharkiv State University of Food Technology and Trade
http://www.wikidata.org/entity/Q23985,Khmelnytskyi National University
http://www.wikidata.org/entity/Q24144,Kharkiv Medical Academy of Post-graduate Education
http://www.wikidata.org/entity/Q24399,University of Saint Joseph
http://www.wikidata.org/entity/Q24420,Kharkiv College of Textile and Design
http://www.wikidata.org/entity/Q27265,University of Salzburg
http://www.wikidata.org/entity/Q491714,Chungbuk National University
http://www.wikidata.org/entity/Q491717,University of Ulsan
http://www.wikidata.org/entity/Q492442,United Nations University
http://www.wikidata.org/entity/Q382711,"Tokyo University of Science, Yamaguchi"
http://www.wikidata.org/entity/Q383939,Africa University
http://www.wikidata.org/entity/Q386203,Ōtani University
http://www.wikidata.org/entity/Q389852,Vilnius Gediminas Technical University
http://www.wikidata.org/entity/Q390087,Xavier University of Louisiana
http://www.wikidata.org/entity/Q391150,Henan University
http://www.wikidata.org/entity/Q134122,Tomás Frías Autonomous University
http://www.wikidata.org/entity/Q135058,Pyongyang University of Music and Dance
http://www.wikidata.org/entity/Q137006,Guangxi Normal University
http://www.wikidata.org/entity/Q137355,Voronezh State Agrarian University
http://www.wikidata.org/entity/Q280824,Eindhoven University of Technology
http://www.wikidata.org/entity/Q281572,Andrássy University Budapest
http://www.wikidata.org/entity/Q282645,Mediterranean University
http://www.wikidata.org/entity/Q282885,Kochi University of Technology
http://www.wikidata.org/entity/Q283032,Pondicherry University
http://www.wikidata.org/entity/Q283204,Sakon Nakhon Rajabhat University
http://www.wikidata.org/entity/Q284508,Friends University
http://www.wikidata.org/entity/Q276599,Kanazawa College of Art
http://www.wikidata.org/entity/Q277664,Tampere University of Technology
http://www.wikidata.org/entity/Q277681,Semmelweis University
http://www.wikidata.org/entity/Q285382,Budapest University of Jewish Studies
http://www.wikidata.org/entity/Q286325,National Conservatory of Argentina
http://www.wikidata.org/entity/Q287299,Iași University of Life Sciences
http://www.wikidata.org/entity/Q288605,al-Aqsa University
http://www.wikidata.org/entity/Q289348,London South Bank University
http://www.wikidata.org/entity/Q290456,Osaka Prefecture University
http://www.wikidata.org/entity/Q290662,Maputo University
http://www.wikidata.org/entity/Q16955,Tsinghua University
http://www.wikidata.org/entity/Q406402,University of Mumbai
http://www.wikidata.org/entity/Q407875,Air University
http://www.wikidata.org/entity/Q411895,Riga Technical University
http://www.wikidata.org/entity/Q427141,Ghislieri College
http://www.wikidata.org/entity/Q427677,Al-Farabi Kazakh National University
